[6990 131105-15:40:13.868] INFO: load service log ok
[6990 131105-15:40:13.868] INFO: host log level DEBUG
[6990 131105-15:40:13.868] INFO: load service dispatcher ok
[6990 131105-15:40:13.868] INFO: load service node ok
[6990 131105-15:40:13.868] INFO: load service centerc ok
[6990 131105-15:40:13.868] INFO: load service cmdctl ok
[6990 131105-15:40:13.868] INFO: load service world ok
[6990 131105-15:40:13.868] INFO: load service gamematch ok
[6990 131105-15:40:13.868] INFO: load service playerdb ok
[6990 131105-15:40:13.868] INFO: node register, NODE[world0000,T03,C-001,L0.0.0.0:0,N127.0.0.1:8300,G0.0.0.0:0]
[6990 131105-15:40:13.868] INFO: listen on 127.0.0.1:8300
[6990 131105-15:40:13.868] INFO: connect to 127.0.0.1:8000 ...
[6990 131105-15:40:13.868] INFO: connect to center ok
[6990 131105-15:40:13.868] INFO: load tplt: ./res/tbl/roledata.tbl
[6990 131105-15:40:13.868] INFO: Shaco start
[6990 131105-15:41:38.209] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:42:19.485] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:42:19.486] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:42:19.486] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:42:19.487] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:42:22.213] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:42:22.213] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:42:22.214] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:42:22.214] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:42:24.325] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:42:24.325] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:42:24.326] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:42:24.326] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:42:25.461] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:42:25.461] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:42:25.461] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:42:25.462] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:43:08.638] DEBUG: Receive msg:10, from center, to service:cmdctl
[6990 131105-15:43:08.638] INFO: reload service world ok
